,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
44731,2890,JZI,Airlines,Online,Basic Plan,0,88,PHILIPPINES,52.0,18.2,F,38
17802,36032,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,39,HONG KONG,29.0,18.85,M,43
49673,17487,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,48,SINGAPORE,28.0,0.0,,36
50569,6775,EPX,Travel Agency,Online,Cancellation Plan,0,34,SINGAPORE,25.0,0.0,,36
26444,39833,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,5,SINGAPORE,79.0,0.0,,36
29830,46590,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,167,UNITED KINGDOM,69.0,0.0,,36
39631,5485,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,UNITED KINGDOM,78.0,0.0,,36
21650,32228,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,MALAYSIA,19.8,11.88,,31
35034,18417,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,90,INDONESIA,22.0,0.0,,36
624,27751,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,22,UNITED KINGDOM,29.7,17.82,,24
25040,41539,EPX,Travel Agency,Online,Cancellation Plan,0,18,MALAYSIA,10.0,0.0,,36
34276,4296,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,MALAYSIA,29.7,17.82,,41
8170,45027,EPX,Travel Agency,Online,Cancellation Plan,0,3,MALAYSIA,10.0,0.0,,36
30768,23128,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,UNITED STATES,39.6,23.76,,41
6107,14041,EPX,Travel Agency,Online,Cancellation Plan,0,19,INDIA,80.0,0.0,,36
39665,10295,EPX,Travel Agency,Online,Cancellation Plan,0,222,UNITED KINGDOM,80.0,0.0,,36
2048,36638,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,MALAYSIA,20.0,0.0,,36
33221,37883,KML,Travel Agency,Online,Value Plan,0,209,INDONESIA,28.0,10.64,F,48
2262,30565,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,89,CHINA,93.0,0.0,,56
39576,2444,EPX,Travel Agency,Online,Cancellation Plan,0,15,SINGAPORE,10.0,0.0,,36
18605,60861,LWC,Travel Agency,Online,Annual Travel Protect Gold,0,367,UNITED STATES,256.2,166.53,F,30
16016,32943,EPX,Travel Agency,Online,Cancellation Plan,0,43,MYANMAR,10.0,0.0,,36
48903,33521,EPX,Travel Agency,Online,Cancellation Plan,0,16,THAILAND,10.0,0.0,,36
1209,61369,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,7,SINGAPORE,20.0,0.0,,23
27237,2663,EPX,Travel Agency,Online,Cancellation Plan,0,31,HONG KONG,68.0,0.0,,36
16806,6809,EPX,Travel Agency,Online,Cancellation Plan,0,43,THAILAND,10.0,0.0,,36
46007,34932,C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,187.85,46.96,M,55
2846,21431,C2B,Airlines,Online,Bronze Plan,0,44,SINGAPORE,131.3,32.83,M,32
40296,35512,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,MALAYSIA,23.0,0.0,,54
40556,49981,EPX,Travel Agency,Online,Cancellation Plan,0,24,MALAYSIA,16.0,0.0,,50
40169,61371,JWT,Airlines,Online,Value Plan,0,1,INDIA,31.0,12.4,M,118
40670,31839,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,142,AUSTRALIA,99.0,59.4,,31
44120,56560,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,22,LAO PEOPLE'S DEMOCRATIC REPUBLIC,43.0,0.0,,36
167,22142,JZI,Airlines,Online,Basic Plan,0,8,MYANMAR,30.0,10.5,F,27
3100,27300,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,25,UNITED STATES,29.7,17.82,,23
33088,57830,EPX,Travel Agency,Online,Cancellation Plan,0,2,SINGAPORE,10.0,0.0,,35
6383,6935,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,THAILAND,20.0,0.0,,36
43298,47144,TST,Travel Agency,Offline,Travel Cruise Protect,0,62,THAILAND,30.0,10.5,M,58
25707,33938,JZI,Airlines,Online,Basic Plan,0,17,JAPAN,35.0,12.25,M,44
45128,7196,EPX,Travel Agency,Online,Cancellation Plan,0,237,"KOREA, REPUBLIC OF",56.0,0.0,,36
9179,37663,EPX,Travel Agency,Online,Cancellation Plan,0,83,JAPAN,22.0,0.0,,36
45502,2616,EPX,Travel Agency,Online,Cancellation Plan,0,5,INDONESIA,14.0,0.0,,40
34799,54613,EPX,Travel Agency,Online,Cancellation Plan,0,8,CHINA,27.0,0.0,,28
1524,46508,C2B,Airlines,Online,Bronze Plan,0,33,SINGAPORE,0.0,10.05,F,36
34814,7789,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,NEW ZEALAND,20.0,0.0,,36
11339,56236,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,INDONESIA,20.0,0.0,,36
23755,63237,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,47,MALAYSIA,79.2,47.52,,39
36213,58559,C2B,Airlines,Online,Annual Silver Plan,0,367,SINGAPORE,193.2,48.3,F,46
27060,29373,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,13,INDONESIA,20.0,0.0,,43
6934,7512,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,31,AUSTRALIA,79.2,47.52,,66
46146,26703,C2B,Airlines,Online,Silver Plan,0,49,SINGAPORE,82.55,20.64,F,26
21479,63097,C2B,Airlines,Online,Bronze Plan,0,0,SINGAPORE,27.0,6.75,M,23
39701,37945,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,ICELAND,29.7,17.82,,46
20027,35132,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,MALAYSIA,43.0,0.0,,36
43057,22995,EPX,Travel Agency,Online,Cancellation Plan,0,4,CHINA,35.0,0.0,,36
14367,14223,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,82,PHILIPPINES,20.0,0.0,,36
35730,7598,EPX,Travel Agency,Online,Cancellation Plan,0,8,HONG KONG,0.0,0.0,,36
9993,29443,C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,25.0,6.25,F,25
18067,58734,SSI,Airlines,Online,Ticket Protector,0,5,SINGAPORE,2.11,0.59,,48
16587,2749,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,INDONESIA,39.0,0.0,,36
16005,2995,EPX,Travel Agency,Online,Cancellation Plan,0,29,SINGAPORE,44.0,0.0,,36
39058,54195,C2B,Airlines,Online,Silver Plan,0,33,SINGAPORE,72.0,18.0,M,30
27741,5489,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,36,THAILAND,0.0,0.0,,36
28064,50652,EPX,Travel Agency,Online,Cancellation Plan,0,5,PHILIPPINES,10.0,0.0,,36
30042,18226,EPX,Travel Agency,Online,Cancellation Plan,0,14,CHINA,25.0,0.0,,36
20287,60707,EPX,Travel Agency,Online,Cancellation Plan,0,62,CHINA,48.0,0.0,,35
34629,2623,EPX,Travel Agency,Online,Cancellation Plan,0,10,INDIA,23.0,0.0,,36
46968,9340,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,THAILAND,21.0,0.0,,36
38183,51169,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,35,AUSTRALIA,89.1,53.46,,57
47208,27284,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,2,UNITED KINGDOM,19.8,11.88,,31
41930,16971,EPX,Travel Agency,Online,Cancellation Plan,0,51,INDONESIA,20.0,0.0,,46
15777,41683,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,71,"KOREA, REPUBLIC OF",51.0,0.0,,36
10049,47879,EPX,Travel Agency,Online,Cancellation Plan,0,14,INDONESIA,14.0,0.0,,33
19575,49459,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,23,"TAIWAN, PROVINCE OF CHINA",87.0,0.0,,74
11670,23367,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,76,AUSTRALIA,128.7,77.22,,65
8355,3330,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,153,CANADA,112.0,0.0,,38
25702,16399,C2B,Airlines,Online,Silver Plan,0,65,SINGAPORE,127.0,31.75,F,34
27601,3936,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,SINGAPORE,9.9,5.94,,53
10035,58573,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,3,MALAYSIA,0.0,11.88,,47
15094,3224,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,81,"KOREA, REPUBLIC OF",36.0,0.0,,36
6353,33309,EPX,Travel Agency,Online,Cancellation Plan,0,20,INDIA,17.0,0.0,,36
14510,37034,EPX,Travel Agency,Online,Cancellation Plan,0,74,VIET NAM,11.0,0.0,,37
48007,10784,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,INDONESIA,20.0,0.0,,22
26954,28546,C2B,Airlines,Online,Bronze Plan,0,20,SINGAPORE,34.5,8.63,F,59
1880,12,KML,Travel Agency,Online,Premier Plan,0,53,NORWAY,-130.0,49.4,F,48
23226,1617,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,CHINA,98.0,0.0,,36
22907,19764,EPX,Travel Agency,Online,Cancellation Plan,0,28,CHINA,14.0,0.0,,36
4763,52644,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,21,AUSTRALIA,79.2,47.52,,63
26744,27653,EPX,Travel Agency,Online,Cancellation Plan,0,84,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,,24
16361,38418,EPX,Travel Agency,Online,Cancellation Plan,0,26,HONG KONG,27.0,0.0,,36
25691,15625,EPX,Travel Agency,Online,Cancellation Plan,0,12,INDIA,17.0,0.0,,36
6267,9582,EPX,Travel Agency,Online,Cancellation Plan,0,7,INDIA,10.0,0.0,,53
23792,23026,EPX,Travel Agency,Online,Cancellation Plan,0,16,KENYA,47.0,0.0,,36
37469,27101,C2B,Airlines,Online,Annual Silver Plan,0,393,SINGAPORE,252.85,63.21,M,31
50093,1784,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,17,SOUTH AFRICA,0.0,59.4,,37
20852,1746,JZI,Airlines,Online,Basic Plan,0,6,PHILIPPINES,22.0,7.7,F,33
2619,32995,JWT,Airlines,Online,Value Plan,0,19,INDIA,31.0,12.4,M,118
41423,49875,SSI,Airlines,Online,Ticket Protector,0,330,SINGAPORE,28.14,7.89,,48
21553,32485,JZI,Airlines,Online,Basic Plan,0,13,PHILIPPINES,30.0,10.5,M,33
29794,50864,EPX,Travel Agency,Online,Cancellation Plan,0,6,THAILAND,28.0,0.0,,29
19685,28637,EPX,Travel Agency,Online,Cancellation Plan,0,3,THAILAND,33.0,0.0,,36
41421,742,JZI,Airlines,Online,Basic Plan,0,75,"KOREA, REPUBLIC OF",26.0,9.1,F,23
39999,20734,JZI,Airlines,Online,Basic Plan,0,61,CHINA,35.0,12.25,F,65
39793,24118,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,6,MALAYSIA,20.0,0.0,,27
5976,25833,JZI,Airlines,Online,Basic Plan,0,47,INDONESIA,22.0,7.7,M,35
44332,41705,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,45,UNITED STATES,94.0,0.0,,31
23292,53188,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,56,JAPAN,58.0,0.0,,36
8905,27216,EPX,Travel Agency,Online,Cancellation Plan,0,217,AUSTRALIA,10.0,0.0,,36
42991,55874,KML,Travel Agency,Online,Premier Plan,0,52,INDONESIA,70.0,26.6,F,48
7889,27694,EPX,Travel Agency,Online,Cancellation Plan,0,2,SINGAPORE,10.0,0.0,,36
13095,13217,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,73,THAILAND,39.6,23.76,,35
45212,15877,EPX,Travel Agency,Online,Cancellation Plan,0,2,INDIA,10.0,0.0,,36
16087,41634,C2B,Airlines,Online,Silver Plan,0,7,SINGAPORE,29.0,7.25,F,33
19053,3313,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,17,AUSTRALIA,49.5,29.7,,36
36109,23832,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,87,UNITED KINGDOM,112.0,0.0,,36
39511,50578,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,133,"KOREA, REPUBLIC OF",43.0,0.0,,36
46005,27006,EPX,Travel Agency,Online,Cancellation Plan,0,6,MALAYSIA,13.0,0.0,,36
18096,47585,C2B,Airlines,Online,Silver Plan,0,70,SINGAPORE,22.5,5.63,M,26
20503,62770,TST,Travel Agency,Offline,Travel Cruise Protect,0,10,MALAYSIA,30.0,10.5,M,29
33751,26198,JZI,Airlines,Online,Value Plan,0,63,UNITED STATES,164.0,57.4,M,45
24156,33857,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,CAMBODIA,20.0,0.0,,36
43564,14934,JZI,Airlines,Online,Basic Plan,0,24,MALAYSIA,22.0,7.7,F,31
11200,59452,EPX,Travel Agency,Online,Cancellation Plan,0,1,MALAYSIA,10.0,0.0,,65
30081,44938,C2B,Airlines,Online,Silver Plan,0,83,SINGAPORE,29.5,7.38,F,20
31906,55603,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,THAILAND,20.0,0.0,,39
11088,4085,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,53,SINGAPORE,63.0,0.0,,36
33399,53570,C2B,Airlines,Online,Bronze Plan,0,5,SINGAPORE,16.0,4.0,M,31
11986,26282,EPX,Travel Agency,Online,Cancellation Plan,0,8,HONG KONG,35.0,0.0,,36
27725,16912,EPX,Travel Agency,Online,Cancellation Plan,0,13,INDIA,22.0,0.0,,36
44174,62151,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,INDONESIA,23.0,0.0,,35
34288,2373,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,62,UNITED STATES,112.0,0.0,,38
15484,9862,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,40,INDONESIA,20.0,0.0,,36
36465,63117,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,FRANCE,39.6,23.76,,58
45527,56416,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,39,INDONESIA,20.0,0.0,,44
19298,58879,EPX,Travel Agency,Online,Cancellation Plan,0,75,MALAYSIA,10.0,0.0,,35
16066,38245,SSI,Airlines,Online,Ticket Protector,1,65,SINGAPORE,4.76,1.33,,48
19687,39942,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,MALAYSIA,20.0,0.0,,36
