,0
0,Product Name_24 Protect
1,Product Name_Annual Travel Protect Platinum
2,Product Name_Annual Travel Protect Silver
3,Product Name_Comprehensive Plan
4,Product Name_Premier Plan
5,Product Name_Single Trip Travel Protect Silver
6,Product Name_Spouse or Parents Comprehensive Plan
7,Product Name_Ticket Protector
8,Product Name_Travel Cruise Protect
9,Destination_ARGENTINA
10,Destination_AUSTRIA
11,Destination_AZERBAIJAN
12,Destination_BAHRAIN
13,Destination_BANGLADESH
14,Destination_BELGIUM
15,Destination_BOLIVIA
16,Destination_BRAZIL
17,Destination_BRUNEI DARUSSALAM
18,Destination_BULGARIA
19,Destination_CAMBODIA
20,Destination_CANADA
21,Destination_CHILE
22,Destination_COLOMBIA
23,Destination_COSTA RICA
24,Destination_CROATIA
25,Destination_CYPRUS
26,Destination_CZECH REPUBLIC
27,Destination_DENMARK
28,Destination_ECUADOR
29,Destination_EGYPT
30,Destination_ESTONIA
31,Destination_FIJI
32,Destination_FINLAND
33,Destination_FRANCE
34,Destination_GEORGIA
35,Destination_GERMANY
36,Destination_GHANA
37,Destination_GREECE
38,Destination_GUAM
39,Destination_HUNGARY
40,Destination_ICELAND
41,Destination_IRELAND
42,Destination_ISRAEL
43,Destination_ITALY
44,Destination_JORDAN
45,Destination_KAZAKHSTAN
46,Destination_KENYA
47,"Destination_KOREA, REPUBLIC OF"
48,Destination_KUWAIT
49,Destination_KYRGYZSTAN
50,Destination_LAO PEOPLE'S DEMOCRATIC REPUBLIC
51,Destination_LEBANON
52,Destination_LUXEMBOURG
53,Destination_MACAO
54,Destination_MALDIVES
55,Destination_MALTA
56,Destination_MAURITIUS
57,Destination_MEXICO
58,Destination_MONGOLIA
59,Destination_MOROCCO
60,Destination_NEPAL
61,Destination_NETHERLANDS
62,Destination_NEW ZEALAND
63,Destination_NORWAY
64,Destination_OMAN
65,Destination_PAKISTAN
66,Destination_PAPUA NEW GUINEA
67,Destination_PERU
68,Destination_POLAND
69,Destination_PORTUGAL
70,Destination_QATAR
71,Destination_ROMANIA
72,Destination_RUSSIAN FEDERATION
73,Destination_SAUDI ARABIA
74,Destination_SERBIA
75,Destination_SLOVENIA
76,Destination_SOUTH AFRICA
77,Destination_SPAIN
78,Destination_SRI LANKA
79,Destination_SWEDEN
80,Destination_SWITZERLAND
81,"Destination_TAIWAN, PROVINCE OF CHINA"
82,"Destination_TANZANIA, UNITED REPUBLIC OF"
83,Destination_TRINIDAD AND TOBAGO
84,Destination_TUNISIA
85,Destination_TURKEY
86,Destination_UKRAINE
87,Destination_UNITED ARAB EMIRATES
88,Destination_UNITED KINGDOM
89,Destination_UNITED STATES
90,Destination_UZBEKISTAN
