,index,Claim_x,pred_y,0_proba,1_proba,Unnamed: 0,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim_y,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,38,1,0,0.8251500968335176,0.17484990316648238,42527,31691,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,12,THAILAND,79.2,47.52,,60
1,262,1,0,0.5968937357397361,0.4031062642602638,30769,28154,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,22,UNITED STATES,112.0,0.0,,42
2,437,1,0,0.937798258861392,0.062201741138608,39488,29565,EPX,Travel Agency,Online,Cancellation Plan,1,21,THAILAND,38.0,0.0,,36
3,740,1,0,0.9481137235923802,0.051886276407619815,10831,2762,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,55,FINLAND,100.0,0.0,,36
4,839,1,0,0.6168009031317191,0.3831990968682809,38723,5826,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,46,UNITED STATES,112.0,0.0,,50
5,877,1,0,0.6779777279475485,0.32202227205245154,22497,50373,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,64,AUSTRALIA,178.2,106.92,,53
6,1368,1,0,0.5951427886159226,0.40485721138407743,1780,13784,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,79,ITALY,52.0,0.0,,36
7,1445,1,0,0.9475833047409206,0.05241669525907944,40606,50844,EPX,Travel Agency,Online,Cancellation Plan,1,47,THAILAND,20.0,0.0,,36
8,1833,1,0,0.6761196385180507,0.3238803614819493,17514,37646,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,20,"KOREA, REPUBLIC OF",46.0,0.0,,36
9,2160,1,0,0.8844573375798654,0.11554266242013461,36076,40210,JZI,Airlines,Online,Value Plan,1,8,CHINA,45.0,15.75,M,45
10,2315,1,0,0.8666062263812243,0.13339377361877572,32482,43000,JZI,Airlines,Online,Value Plan,1,105,"KOREA, REPUBLIC OF",45.0,15.75,F,19
11,2621,1,0,0.958732065881637,0.0412679341183631,31969,57457,EPX,Travel Agency,Online,Cancellation Plan,1,6,JAPAN,17.0,0.0,,36
12,2702,1,0,0.8450374420316273,0.15496255796837266,41428,43724,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,95,PHILIPPINES,23.0,0.0,,36
13,2816,1,0,0.9698159876791628,0.030184012320837204,38863,54291,EPX,Travel Agency,Online,Cancellation Plan,1,8,INDONESIA,12.0,0.0,,45
14,2834,1,0,0.7979813037553249,0.20201869624467508,47215,50261,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,43,VIET NAM,20.0,0.0,,36
15,2848,1,0,0.6220829227702267,0.37791707722977336,23982,49606,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,74,ITALY,49.5,29.7,,26
16,3132,1,0,0.8712198736528043,0.1287801263471957,27956,43891,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,85,ICELAND,59.4,35.64,,61
17,3454,1,0,0.8204381981344928,0.17956180186550724,46272,6605,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,66,THAILAND,22.0,0.0,,36
18,3497,1,0,0.6646782812982911,0.3353217187017089,21283,40128,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,129,HONG KONG,48.0,0.0,,36
19,3515,1,0,0.7858706320988695,0.21412936790113046,21143,4959,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,51,GERMANY,79.2,47.52,,58
20,3796,1,0,0.9029996608686865,0.09700033913131344,34075,38938,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,3,AUSTRALIA,50.0,0.0,,36
21,4064,1,0,0.9779395566119157,0.022060443388084373,26461,42101,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,36,MACAO,20.0,0.0,,58
22,4071,1,0,0.9482445592072053,0.051755440792794725,17937,51115,JZI,Airlines,Online,Basic Plan,1,31,INDONESIA,18.0,6.3,F,44
23,4279,1,0,0.6235142358013019,0.37648576419869806,25361,25365,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,36,HONG KONG,68.0,0.0,,36
24,4330,1,0,0.6366007355216322,0.3633992644783678,8383,10215,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,32,AUSTRALIA,178.2,106.92,,36
25,4387,1,0,0.867851852261647,0.13214814773835304,38566,24365,JZI,Airlines,Online,Value Plan,1,46,UNITED STATES,138.0,48.3,M,56
26,4783,1,0,0.7671845808196874,0.23281541918031257,46719,5603,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,39,AUSTRALIA,69.3,41.58,,37
27,4825,1,0,0.8054106880552998,0.19458931194470022,15716,53017,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,66,PHILIPPINES,50.0,0.0,,36
28,4834,1,0,0.9268971264582666,0.0731028735417334,30798,14779,JZI,Airlines,Online,Basic Plan,1,14,THAILAND,18.0,6.3,F,44
29,4912,1,0,0.8417610403439311,0.1582389596560689,28753,23522,JZI,Airlines,Online,Basic Plan,1,55,CHINA,26.0,9.1,F,37
30,4969,1,0,0.6502352190603802,0.3497647809396198,17824,59017,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,47,"KOREA, REPUBLIC OF",42.0,0.0,,23
31,4982,1,0,0.9423114303438783,0.05768856965612166,43459,23760,JZI,Airlines,Online,Basic Plan,1,44,THAILAND,18.0,6.3,M,67
32,5202,1,0,0.8833453581983476,0.1166546418016524,21079,8152,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,48,INDIA,21.0,0.0,,36
33,5402,1,0,0.6992330381987706,0.30076696180122936,44711,27060,KML,Travel Agency,Online,Value Plan,1,18,INDONESIA,28.0,10.64,F,48
34,5419,1,0,0.6062649086706383,0.3937350913293617,39700,36630,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,41,UNITED KINGDOM,118.8,71.28,,31
35,5674,1,0,0.8118660244488822,0.18813397555111777,13808,15795,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,90,JAPAN,46.0,0.0,,36
36,5816,1,0,0.9270098201260455,0.07299017987395455,14249,60720,JWT,Airlines,Online,Value Plan,1,25,INDIA,78.0,31.2,F,118
37,6171,1,0,0.7070571271905723,0.29294287280942766,38819,47255,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,86,AUSTRALIA,108.9,65.34,,31
38,6431,1,0,0.950501924693677,0.049498075306323025,43522,18431,EPX,Travel Agency,Online,Cancellation Plan,1,266,MALAYSIA,10.0,0.0,,36
39,6763,1,0,0.9276468238754849,0.07235317612451508,12974,25425,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,3,VIET NAM,20.0,0.0,,39
40,7059,1,0,0.8738645571708288,0.12613544282917116,38,53097,KML,Travel Agency,Online,Premier Plan,1,21,INDONESIA,38.0,14.44,F,48
41,7315,1,0,0.6904501038226184,0.3095498961773816,50185,40653,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,12,"KOREA, REPUBLIC OF",40.0,0.0,,36
42,7637,1,0,0.9316192498641218,0.06838075013587816,26717,22669,JZI,Airlines,Online,Basic Plan,1,3,HONG KONG,-22.0,7.7,M,59
43,8218,1,0,0.5490338617970607,0.45096613820293935,4441,14429,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,125,UNITED STATES,112.0,0.0,,28
44,8508,1,0,0.5379283544787661,0.4620716455212339,16010,62527,LWC,Travel Agency,Online,Annual Travel Protect Silver,1,367,UNITED STATES,229.8,149.37,M,28
45,8672,1,0,0.584290026965068,0.41570997303493196,29403,45872,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,10,ITALY,99.0,59.4,,35
46,8922,1,0,0.55314283285119,0.4468571671488099,25110,56506,C2B,Airlines,Online,Gold Plan,1,6,SINGAPORE,33.5,8.38,M,50
47,9095,1,0,0.6084520565331765,0.39154794346682353,12026,30192,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,30,UNITED KINGDOM,73.0,0.0,,36
