,index,Claim_x,pred_y,0_proba,1_proba,Unnamed: 0,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim_y,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,34,0,1,0.2327113062568606,0.7672886937431395,44980,52193,C2B,Airlines,Online,Annual Silver Plan,0,366,SINGAPORE,216.0,54.0,F,31
1,101,0,1,0.2327113062568606,0.7672886937431395,49378,61841,C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,67.0,16.75,M,32
2,105,0,1,0.2327113062568606,0.7672886937431395,10351,47237,C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,M,30
3,120,0,1,0.2327113062568606,0.7672886937431395,41340,46298,C2B,Airlines,Online,Annual Silver Plan,0,369,SINGAPORE,216.0,54.0,F,34
4,124,0,1,0.2327113062568606,0.7672886937431395,50066,33953,C2B,Airlines,Online,Bronze Plan,0,27,SINGAPORE,53.5,13.38,F,39
5,129,0,1,0.30676883780332054,0.6932311621966795,2206,53124,C2B,Airlines,Online,Bronze Plan,0,7,SINGAPORE,24.0,6.0,F,44
6,137,0,1,0.30676883780332054,0.6932311621966795,12584,2901,C2B,Airlines,Online,Bronze Plan,0,21,SINGAPORE,22.1,5.53,M,32
7,141,0,1,0.30676883780332054,0.6932311621966795,24690,35224,C2B,Airlines,Online,Bronze Plan,0,11,SINGAPORE,29.5,7.38,M,26
8,186,0,1,0.2327113062568606,0.7672886937431395,2830,61846,C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,53.0,13.25,F,35
9,189,0,1,0.01649746192893401,0.983502538071066,10018,2361,C2B,Airlines,Online,Annual Silver Plan,0,403,SINGAPORE,252.85,63.21,F,54
10,201,0,1,0.30676883780332054,0.6932311621966795,27131,28082,C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,23.0,5.75,M,45
11,235,0,1,0.2327113062568606,0.7672886937431395,20073,45343,C2B,Airlines,Online,Annual Silver Plan,0,400,SINGAPORE,216.0,54.0,M,30
12,272,0,1,0.30676883780332054,0.6932311621966795,32053,49402,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,19.2,4.8,F,43
13,302,0,1,0.761841128433556,0.23815887156644394,29322,1836,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,"KOREA, REPUBLIC OF",52.0,0.0,,36
14,303,0,1,0.2327113062568606,0.7672886937431395,35453,61860,C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,F,28
15,316,0,1,0.761841128433556,0.23815887156644394,16434,60316,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,25,"TAIWAN, PROVINCE OF CHINA",51.0,0.0,,35
16,317,0,1,0.46646795827123694,0.533532041728763,45083,62815,C2B,Airlines,Online,Silver Plan,0,6,SINGAPORE,29.0,7.25,M,33
17,361,0,1,0.01649746192893401,0.983502538071066,8265,36137,C2B,Airlines,Online,Annual Silver Plan,0,368,SINGAPORE,252.85,63.21,F,55
18,394,0,1,0.01649746192893401,0.983502538071066,23151,32043,C2B,Airlines,Online,Annual Silver Plan,0,366,SINGAPORE,252.85,63.21,F,28
19,398,0,1,0.761841128433556,0.23815887156644394,45312,40926,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,56,AUSTRALIA,59.4,35.64,,30
