,index,Claim_x,pred_y,0_proba,1_proba,Unnamed: 0,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim_y,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,38,1,0,1.0,0.0,42527,31691,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,12,THAILAND,79.2,47.52,,60
1,46,1,0,1.0,0.0,39159,2543,C2B,Airlines,Online,Annual Silver Plan,1,368,SINGAPORE,389.0,97.25,F,41
2,70,1,0,1.0,0.0,29007,43504,C2B,Airlines,Online,Silver Plan,1,90,SINGAPORE,507.0,126.75,M,32
3,114,1,0,1.0,0.0,50528,46959,C2B,Airlines,Online,Annual Gold Plan,1,416,SINGAPORE,287.4,71.85,M,27
4,262,1,0,1.0,0.0,30769,28154,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,22,UNITED STATES,112.0,0.0,,42
5,330,1,0,1.0,0.0,30591,40073,C2B,Airlines,Online,Silver Plan,1,29,SINGAPORE,48.5,12.13,F,28
6,437,1,0,1.0,0.0,39488,29565,EPX,Travel Agency,Online,Cancellation Plan,1,21,THAILAND,38.0,0.0,,36
7,490,1,0,1.0,0.0,23266,55375,C2B,Airlines,Online,Bronze Plan,1,9,SINGAPORE,20.0,5.0,M,21
8,496,1,0,1.0,0.0,13812,52593,C2B,Airlines,Online,Bronze Plan,1,10,SINGAPORE,21.0,5.25,M,38
9,730,1,0,1.0,0.0,17829,55686,LWC,Travel Agency,Online,Annual Travel Protect Gold,1,370,CHINA,204.6,132.99,M,39
10,740,1,0,1.0,0.0,10831,2762,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,55,FINLAND,100.0,0.0,,36
11,761,1,0,1.0,0.0,20314,38784,C2B,Airlines,Online,Bronze Plan,1,18,SINGAPORE,34.5,8.63,F,30
12,827,1,0,1.0,0.0,28507,42186,C2B,Airlines,Online,Bronze Plan,1,11,SINGAPORE,27.0,6.75,F,68
13,839,1,0,1.0,0.0,38723,5826,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,46,UNITED STATES,112.0,0.0,,50
14,877,1,0,1.0,0.0,22497,50373,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,64,AUSTRALIA,178.2,106.92,,53
15,1047,1,0,1.0,0.0,11153,57335,C2B,Airlines,Online,Silver Plan,1,14,SINGAPORE,47.5,11.88,M,22
16,1255,1,0,1.0,0.0,10998,24153,C2B,Airlines,Online,Bronze Plan,1,31,SINGAPORE,22.1,5.53,F,24
17,1368,1,0,1.0,0.0,1780,13784,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,79,ITALY,52.0,0.0,,36
18,1445,1,0,1.0,0.0,40606,50844,EPX,Travel Agency,Online,Cancellation Plan,1,47,THAILAND,20.0,0.0,,36
19,1457,1,0,1.0,0.0,18549,45331,C2B,Airlines,Online,Silver Plan,1,24,SINGAPORE,144.0,36.0,F,42
20,1833,1,0,1.0,0.0,17514,37646,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,20,"KOREA, REPUBLIC OF",46.0,0.0,,36
21,1847,1,0,1.0,0.0,748,51854,C2B,Airlines,Online,Silver Plan,1,20,SINGAPORE,72.0,18.0,F,29
22,2148,1,0,1.0,0.0,35492,28927,C2B,Airlines,Online,Bronze Plan,1,66,SINGAPORE,62.0,15.5,M,25
23,2160,1,0,1.0,0.0,36076,40210,JZI,Airlines,Online,Value Plan,1,8,CHINA,45.0,15.75,M,45
24,2315,1,0,1.0,0.0,32482,43000,JZI,Airlines,Online,Value Plan,1,105,"KOREA, REPUBLIC OF",45.0,15.75,F,19
25,2344,1,0,1.0,0.0,37669,2212,C2B,Airlines,Online,Silver Plan,1,10,SINGAPORE,50.0,12.5,F,50
26,2430,1,0,1.0,0.0,34041,28089,C2B,Airlines,Online,Bronze Plan,1,22,SINGAPORE,40.5,10.13,F,30
27,2434,1,0,1.0,0.0,20758,29428,C2B,Airlines,Online,Silver Plan,1,68,SINGAPORE,127.0,31.75,M,34
28,2621,1,0,1.0,0.0,31969,57457,EPX,Travel Agency,Online,Cancellation Plan,1,6,JAPAN,17.0,0.0,,36
29,2625,1,0,1.0,0.0,2590,18559,C2B,Airlines,Online,Bronze Plan,1,10,SINGAPORE,38.35,9.59,F,26
30,2702,1,0,1.0,0.0,41428,43724,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,95,PHILIPPINES,23.0,0.0,,36
31,2816,1,0,1.0,0.0,38863,54291,EPX,Travel Agency,Online,Cancellation Plan,1,8,INDONESIA,12.0,0.0,,45
32,2824,1,0,1.0,0.0,50556,42194,C2B,Airlines,Online,Bronze Plan,1,43,SINGAPORE,33.5,8.38,M,29
33,2843,1,0,1.0,0.0,2530,46073,C2B,Airlines,Online,Silver Plan,1,91,SINGAPORE,56.5,14.13,F,18
34,2848,1,0,1.0,0.0,23982,49606,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,74,ITALY,49.5,29.7,,26
35,3105,1,0,1.0,0.0,6563,52167,C2B,Airlines,Online,Bronze Plan,1,5,SINGAPORE,21.0,5.25,F,32
36,3132,1,0,1.0,0.0,27956,43891,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,85,ICELAND,59.4,35.64,,61
